2.673838602836936e-19,1.3418879632196527e-18,6.6729351060290255e-18,3.015574844729219e-17,1.2315637602678503e-16,4.530994187044256e-16,1.497162279969544e-15,4.430427782951715e-15,1.1712695815425043e-14,2.76430546409923e-14,5.884843338390006e-14,1.2308776150004444e-13,3.811549511279276e-13,2.7099951719654524e-12,2.7693474024322838e-11,2.8213357582087454e-10,2.2854886714412557e-09,3.243392652615972e-09,3.4287044799298725e-09,3.0318291236947e-09,2.349149399134223e-09,1.6344793281270565e-09,1.0358900041998762e-09,6.032804681950021e-10,3.2466935422498036e-10,1.6209020353968737e-10,7.528741831939356e-11,3.261195151893576e-11,1.3203424140152128e-11,5.0115873780476195e-12,1.8054121739422738e-12,6.830425978190769e-13
1.3430138926429834e-18,6.7384766599238076e-18,3.350329919580687e-17,1.513813180560554e-16,6.181530009478742e-16,2.2739180917060494e-15,7.512717877750316e-15,2.2229051954728053e-14,5.875548821088722e-14,1.3855992424474558e-13,2.9341735107237263e-13,5.911384164033668e-13,1.5488816173011207e-12,8.912900942280659e-12,8.27922219465732e-11,7.962428668743225e-10,6.116489508811534e-09,8.64192968967977e-09,9.111262603618868e-09,8.04233925978308e-09,6.224435945511792e-09,4.327999039408401e-09,2.7421047431744684e-09,1.5967922751360792e-09,8.593917292323422e-10,4.2910833641890985e-10,1.9935112945006932e-10,8.63727662151406e-11,3.4978675607156543e-11,1.3280670808361152e-11,4.785918733134647e-12,1.8115110148720244e-12
6.678529225927497e-18,3.3503285480572174e-17,1.6655438571816054e-16,7.524686404931685e-16,3.0723017587272703e-15,1.1300523018324144e-14,3.733191571748586e-14,1.1044962882828183e-13,2.9189887945616045e-13,6.88018364327202e-13,1.4521405380440692e-12,2.8577088223680083e-12,6.640378928065008e-12,3.117185216832977e-11,2.6022368223859896e-10,2.3580184002485835e-09,1.7162210055489812e-08,2.4131951390948002e-08,2.5368543284048046e-08,2.2349210083793913e-08,1.7276148300460896e-08,1.2003854777538158e-08,7.602482580818776e-09,4.426461979179343e-09,2.3823146296799117e-09,1.1896347678854723e-09,5.527501113616379e-10,2.395337167767103e-10,9.702515938038025e-11,3.684695817623288e-11,1.3281898113382417e-11,5.028978678610093e-12
3.0181016875251215e-17,1.5138124152059672e-16,7.524685726711114e-16,3.399168715603329e-15,1.3877268832988274e-14,5.1038539860826995e-14,1.685943311152618e-13,4.987595896518854e-13,1.3179867942498862e-12,3.1054223284256603e-12,6.539758837499187e-12,1.267096822852547e-11,2.69919366017216e-11,1.0490835009351864e-10,7.780231857854564e-10,6.627474617642776e-09,4.574213099347791e-08,6.399335469517558e-08,6.70671691022326e-08,5.896640588040535e-08,4.552372465085773e-08,3.1607311494427964e-08,2.001026119505999e-08,1.1648891691957494e-08,6.26931463167545e-09,3.1308782774982465e-09,1.4549126858065375e-09,6.305881864152477e-10,2.554732541255386e-10,9.704057498375318e-11,3.498757826127583e-11,1.3251428299207705e-11
1.232595004189246e-16,6.181525316502686e-16,3.0723008357192495e-15,1.3877266319181763e-14,5.664929717058962e-14,2.0832987349282713e-13,6.881169995706755e-13,2.035533553718669e-12,5.378453109323412e-12,1.2669220463170243e-11,2.6638948410999016e-11,5.1067739582375965e-11,1.021715379146736e-10,3.3576079684018876e-10,2.1901129210487093e-09,1.7477110001248467e-08,1.1440956684216651e-07,1.591990850873508e-07,1.6630687399459294e-07,1.4591183632200125e-07,1.1249923792107e-07,7.8048281763788e-08,4.93914805786678e-08,2.8748118403528943e-08,1.5471537985530907e-08,7.726923764884442e-09,3.5911044590162793e-09,1.5566921469611998e-09,6.307809268357068e-10,2.3964645380385503e-10,8.642248671877399e-11,3.274131844387886e-11
4.534779311664785e-16,2.273913306042947e-15,1.1300507305265023e-14,5.103848452699599e-14,2.0832971139395362e-13,7.660802115581972e-13,2.5301949409822686e-12,7.484121055362144e-12,1.977357806984426e-11,4.656813718245598e-11,9.780843639260326e-11,1.861201767030659e-10,3.559727617436588e-10,1.0142191208754566e-09,5.787111622504541e-09,4.311019647658599e-08,2.677503988936077e-07,3.7045318841261946e-07,3.856789308524449e-07,3.3764067792209983e-07,2.5996881264781646e-07,1.8021450188129966e-07,1.1399784694135352e-07,6.634002508310765e-08,3.57013415881986e-08,1.7831202826502448e-08,8.287971067174195e-09,3.5932198626134663e-09,1.456231686514598e-09,5.533522793941212e-10,1.995934475876087e-10,7.563594092399146e-11
1.4983979965410418e-15,7.512645425137403e-15,3.7331639591197624e-14,1.6859332417396529e-13,6.881136678278276e-13,2.5301860569034106e-12,8.35611059342697e-12,2.4715241130776695e-11,6.529494819659752e-11,1.5374973603310875e-10,3.226664329824768e-10,6.107992866231144e-10,1.1310015383575218e-09,2.866152141794938e-09,1.4310369336313959e-08,9.922508312064145e-08,5.850993288720071e-07,8.047195627093728e-07,8.348419179379645e-07,7.292153666149122e-07,5.606847159071874e-07,3.883624615820364e-07,2.45561190091125e-07,1.4287550987575192e-07,7.688621027485978e-08,3.8402874108862815e-08,1.7851431032449657e-08,7.740418641763278e-09,3.1374476963492423e-09,1.1923960354701568e-09,4.3017708188237126e-10,1.6305470621229837e-10
4.433823278506197e-15,2.2227852627441573e-14,1.1044498417605049e-13,4.987427733035624e-13,2.035477575108972e-12,7.483953263499278e-12,2.4714835979829244e-11,7.309626054646888e-11,1.9310092593940443e-10,4.54637351710927e-10,9.535597028406994e-10,1.7982910193057802e-09,3.252885728825309e-09,7.506666785236913e-09,3.29906123491499e-08,2.1256860842387968e-07,1.1915215602215184e-06,1.6287379069937605e-06,1.6836263549175312e-06,1.4672693373499592e-06,1.1265954878295525e-06,7.797183166110003e-07,4.928064664289499e-07,2.866769049549021e-07,1.5426337357607922e-07,7.705374590543293e-08,3.582121724105916e-08,1.5533969127229135e-08,6.297295956354465e-09,2.393672231985551e-09,8.637073319322535e-10,3.274522544705983e-10
1.1717320331673774e-14,5.873625907209516e-14,2.918255048242661e-13,1.317725596970288e-12,5.377595007111917e-12,1.9770994571597496e-11,6.528795462000825e-11,1.930856772661323e-10,5.100554663417111e-10,1.2007575100909704e-09,2.517366315692207e-09,4.734454262531705e-09,8.419643521081283e-09,1.8055712794621213e-08,7.058590170455081e-08,4.227197338810674e-07,2.2567851671320705e-06,3.06582727270433e-06,3.1577381497235216e-06,2.7457590574106865e-06,2.1053614605140534e-06,1.455980821755987e-06,9.198454416607696e-07,5.349959622670805e-07,2.8787149955895914e-07,1.4379443497215015e-07,6.685309503704023e-08,2.8994057780079145e-08,1.1755316429991845e-08,4.468943974789466e-09,1.6127783503267316e-09,6.115642798700586e-10
2.7585719553849646e-14,1.3826954199338093e-13,6.869356889034507e-13,3.101649424475881e-12,1.2657055847073999e-11,4.653202795293262e-11,1.5365167789310594e-10,4.543982109200071e-10,1.2002878939063328e-09,2.8254604209814197e-09,5.921557939975652e-09,1.1114396372573417e-08,1.952129404308871e-08,3.955834949536701e-08,1.3945468931170893e-07,7.781509450437459e-07,3.967775812353305e-06,5.357395192864026e-06,5.4986251675832225e-06,4.770850484848913e-06,3.6533458735694222e-06,2.5246133597337895e-06,1.5943481792712126e-06,9.271315309863783e-07,4.988467386141884e-07,2.491840345074675e-07,1.1585856382299474e-07,5.025225839756491e-08,2.0376443468450214e-08,7.747331970639173e-09,2.796289529366608e-09,1.0605372523640864e-09
